Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name
3950,By the Numbers: Cavs Beginning To Hit Their Stride,2015-16,http://global.nba.com/news/by-the-numbers-hitting-their-stride/,NBA News,Default,Default,Default,0.1773809523809524,0.1773809523809524,Kevin Love
3951,How have those offseason moves panned out in 2015-16?,2015-16,http://global.nba.com/news/how-have-those-offseason-moves-panned-out-in-2015-16/,Shaun Powell,651,None,None,0.1021883374561945,0.1021883374561945,LeBron James
3952,"Warriors near history, yet are far from playing their best",2015-16,http://global.nba.com/news/warriors-near-history-yet-are-far-from-playing-their-best/,Scott Howard Cooper,231,None,None,0.2786535303776683,0.2786535303776683,Klay Thompson
3953,Thunder Enjoy Durant’s Return In Win Over Jazz,2015-16,http://global.nba.com/news/thunder-at-utah-jazz-game-recap-nov-23-2015/,NBA News,Default,Default,Default,0.1210667600373482,0.1210667600373482,Dion Waiters
3954,LeBron Moves Into Rare Assist Company In Cavs’ Win,2015-16,http://global.nba.com/news/five-keys-cavaliers-vs-magic/,Joe Gabriele,492,None,None,0.2082057057057057,0.2082057057057057,LeBron James
3955,Spurs Dominate Suns Without Aldridge,2015-16,http://global.nba.com/news/spurs-dominate-suns/,Dan Bruno via RotoWire.com,None,None,None,0.0471320346320346,0.0471320346320346,LaMarcus Aldridge
3956,Bucks Dominate With Monroe’s Double-Double Against Former Team,2015-16,http://global.nba.com/news/bucks-dominate-pistons-109-88-behind-double-double-from-monroe/,Nick Brazzoni via RotoWire.com,None,None,None,0.0985507246376811,0.0985507246376811,Andre Drummond
3957,Wiggins’ 32 Lifts Timberwolves Over Desperate 76ers,2015-16,http://global.nba.com/news/wiggins-lifts-timberwolves-over-desperate-6ers/,Dan Bruno via RotoWire.com,None,None,None,0.1877350427350427,0.1877350427350427,Andrew Wiggins
3958,Heat Overcome Hot Knicks 95-78,2015-16,http://global.nba.com/news/heat-defeat-knicks-95-78/,Nick Brazzoni via RotoWire.com,None,None,None,0.0464646464646464,0.0464646464646464,Dwyane Wade
3959,Hornets Rally Past Kings In OT Despite Rondo’s Record 20 Assists,2015-16,http://global.nba.com/news/hornets-rally-past-kings-127-122-in-overtime/,Benjamin Zweiman via RotoWire.com,None,None,None,0.1114121510673234,0.1114121510673234,Rudy Gay
