,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
315,Frank Jackson,23,7.6,0.7,-3.5,-1.7,6.7,0.4,0.215,53,False,1164,-1.8,1.7,0.3,10.6,['POINT GUARD'],jacksfr01,1.1,DETROIT PISTONS,0.578,4.0,0.53,6.7,20.9,-0.4,0.7,0.031
305,De'Andre Hunter,24,6.1,1.2,-3.9,-1.5,10.4,0.7,0.289,53,False,1577,-2.4,1.8,0.4,10.6,['SMALL FORWARD'],huntede01,1.1,ATLANTA HAWKS,0.339,6.1,0.547,9.6,19.9,-0.8,1.1,0.034
557,Duncan Robinson,27,9.3,0.7,-0.6,-0.3,9.8,2.0,0.084,79,False,2043,-0.3,1.4,1.9,10.6,['SHOOTING GUARD'],robindu01,1.0,MIAMI HEAT,0.86,5.6,0.573,7.4,17.7,0.7,3.9,0.092
409,Théo Maledon,20,18.5,1.1,-4.4,-0.7,12.8,0.8,0.315,51,False,908,-3.7,2.2,-0.5,10.6,['POINT GUARD'],maledth01,1.7,OKLAHOMA CITY THUNDER,0.473,7.4,0.5,15.3,20.3,-0.6,0.3,0.015
199,Bryn Forbes,28,8.0,0.3,-4.3,-3.2,4.3,0.2,0.156,35,False,610,-1.1,1.1,0.5,10.6,['SHOOTING GUARD'],forbebr01,0.6,DENVER NUGGETS,0.593,2.7,0.578,8.1,20.3,-0.4,0.7,0.054
5,Nickeil Alexander-Walker,23,16.1,1.4,-3.0,-1.3,11.0,0.9,0.153,50,False,1317,-1.7,3.0,-1.1,10.5,['SHOOTING GUARD'],alexani01,1.5,NEW ORLEANS PELICANS,0.483,6.9,0.474,11.2,24.8,-0.3,-0.1,-0.005
340,Stanley Johnson,25,9.8,1.1,-2.7,0.1,11.9,0.9,0.295,48,False,1094,-2.8,3.4,0.9,10.5,['POWER FORWARD'],johnsst04,1.9,LOS ANGELES LAKERS,0.418,7.6,0.564,11.0,12.5,-0.2,1.8,0.079
459,Moses Moody,19,5.3,1.6,-2.5,-1.1,11.0,0.7,0.197,52,False,607,-1.4,3.2,0.6,10.5,['SHOOTING GUARD'],moodymo01,0.6,GOLDEN STATE WARRIORS,0.601,7.2,0.573,6.1,15.2,-0.1,1.3,0.101
302,Elijah Hughes,23,7.6,0.8,-1.5,-0.3,14.2,0.1,0.083,14,False,112,-1.2,2.0,0.0,10.5,['SMALL FORWARD'],hugheel01,1.8,UTAH JAZZ,0.778,8.3,0.576,15.8,17.2,0.0,0.1,0.063
489,Frank Ntilikina,23,14.7,0.9,-1.9,0.9,10.9,0.9,0.112,58,False,685,-2.8,1.9,0.1,10.4,['SHOOTING GUARD'],ntilila01,2.0,DALLAS MAVERICKS,0.498,6.4,0.513,11.7,17.4,0.0,0.9,0.065
