title,date,url
"LeBron James: LA Lakers move for basketball, not movies says NBA star",24 September 2018,https://www.bbc.co.uk/sport/basketball/45633671
LeBron James: Basketball star agrees to join Los Angeles Lakers,2 July 2018,https://www.bbc.co.uk/sport/basketball/44536262
LeBron James' 'tomahawk slam' leads NBA plays of the week,19 March 2018,https://www.bbc.co.uk/sport/av/basketball/43458775
LeBron James: New LA Lakers star's top plays from last season,2 July 2018,https://www.bbc.co.uk/sport/av/basketball/44687866
"'Look left, pass right' - LeBron James' classy no-look pass in Cavs' defeat to Lakers in NBA",12 March 2018,https://www.bbc.co.uk/sport/av/basketball/43373737
Does LeBron James really have a photographic memory?,14 May 2018,https://www.bbc.co.uk/news/world-44106321
Cleveland Cavaliers v Boston Celtics: LeBron James helps Cavs tie series,26 May 2018,https://www.bbc.co.uk/sport/basketball/44263563
NBA: LeBron James breaks record in 44-point display against Boston Celtics,22 May 2018,https://www.bbc.co.uk/sport/av/basketball/44217466
NBA finals: LeBron James's off the board dunk can't save Cleveland Cavaliers,7 June 2018,https://www.bbc.co.uk/sport/av/basketball/44398332
NBA: LeBron James leads Cleveland Cavaliers to finals with victory over Boston Celtics,28 May 2018,http://www.bbc.co.uk/sport/basketball/44276947
NBA: LeBron James' stunning buzzer-beater helps Cleveland Cavaliers beat Indiana Pacers,26 April 2018,https://www.bbc.co.uk/sport/av/basketball/43912603
"LeBron James makes NBA record books as youngest player to reach 30,000 points",24 January 2018,https://www.bbc.co.uk/sport/av/basketball/42806925
LeBron James: Cleveland Cavaliers star surpasses Kobe Bryant in NBA records,24 January 2018,https://www.bbc.co.uk/sport/basketball/42800611
LeBron James' quarterback stars in this week's top NBA plays,26 March 2018,https://www.bbc.co.uk/sport/av/basketball/43541821
LeBron James ties Michael Jordan's double-digit scoring record,29 March 2018,https://www.bbc.co.uk/sport/basketball/43581796
NBA: LeBron James nutmegs own Cleveland Cavaliers team-mate to score,2 March 2018,https://www.bbc.co.uk/sport/av/basketball/43257158
LeBron James stars as Cleveland Cavaliers reach NBA finals,28 May 2016,https://www.bbc.co.uk/sport/basketball/36404508
'Peanut butter & jelly' LeBron James & Dwyane Wade star in NBA best plays,23 January 2018,https://www.bbc.co.uk/sport/av/basketball/42776419
NBA: Watch as LeBron James 'throws that hammer down' in best plays,29 January 2018,https://www.bbc.co.uk/sport/av/basketball/42866273
LeBron James: NBA legend breaks Michael Jordan's double-digit scoring record,31 March 2018,https://www.bbc.co.uk/sport/basketball/43603925
LeBron James: Cleveland Cavaliers forward ejected for first time in NBA career,29 November 2017,https://www.bbc.co.uk/sport/basketball/42163561
NBA: LeBron James ejected from game for first time in his career,29 November 2017,https://www.bbc.co.uk/sport/av/basketball/42169095
NBA play-offs: Cavs and LeBron James face first-round series decider against Pacers,28 April 2018,https://www.bbc.co.uk/sport/basketball/43933420
BBC Sport advent calendar: LeBron James' 'jaw-dropping' three-pointer,11 December 2017,https://www.bbc.co.uk/sport/av/basketball/42246010
LeBron James: Racism is hidden but alive,1 June 2017,https://www.bbc.co.uk/news/world-us-canada-40118132
Donald Trump: LeBron James calls president a 'bum' after Steph Curry comments,23 September 2017,https://www.bbc.co.uk/sport/basketball/41373916
LeBron James: Cleveland Cavaliers star signs new deal,10 July 2015,https://www.bbc.co.uk/sport/basketball/33489957
NBA Finals: LeBron James' amazing off-the-backboard dunk,10 June 2017,https://www.bbc.co.uk/sport/av/basketball/40233749
"LeBron James: First Cleveland Cavaliers player to score 20,000 points",30 January 2017,https://www.bbc.co.uk/sport/basketball/38795157
LeBron James signs lifetime deal with Nike,8 December 2015,https://www.bbc.co.uk/news/business-35035743
LeBron James becomes partner at Liverpool FC owners,17 March 2021,https://www.bbc.co.uk/news/business-56424551
LeBron James says President Trump 'trying to divide through sport',25 September 2017,https://www.bbc.co.uk/sport/american-football/41393513
NBA plays of the week featuring Cleveland Cavaliers star LeBron James,14 March 2017,https://www.bbc.co.uk/sport/av/basketball/39267634
NBA: LeBron James' 'jaw-dropping' three-pointer,7 February 2017,https://www.bbc.co.uk/sport/av/basketball/38887735
"NBA: Stephen Curry should earn $400m, says LeBron James",3 July 2017,https://www.bbc.co.uk/sport/basketball/40478339
LeBron James: Cleveland Cavaliers star pulls out of US Rio Olympics team,24 June 2016,https://www.bbc.co.uk/sport/basketball/36613399
"George Floyd: Lewis Hamilton, LeBron James and sporting world reacts to Derek Chauvin conviction",21 April 2021,https://www.bbc.co.uk/sport/56836648
LeBron James agrees $100m three-year deal with Cleveland Cavaliers,12 August 2016,https://www.bbc.co.uk/sport/basketball/37055157
LeBron James: NBA star's voting rights group starts new campaign,5 March 2021,https://www.bbc.co.uk/news/world-us-canada-56300363
LeBron James and the Cleveland Cavaliers bring home the NBA trophy,21 June 2016,https://www.bbc.co.uk/sport/av/basketball/36586777
NBA plays of the week: LeBron James' king-sized slam,28 April 2016,https://www.bbc.co.uk/sport/av/basketball/36166385
NBA playoffs: LeBron James dominates the top 10 plays of the week,27 May 2016,https://www.bbc.co.uk/sport/av/basketball/36403868
NBA Finals: LeBron James' amazing alley-oop as Cavaliers beat Warriors,9 June 2016,https://www.bbc.co.uk/sport/av/basketball/36489811
LeBron James' Cleveland Cavaliers beat Golden State Warriors to win NBA title,20 June 2016,https://www.bbc.co.uk/sport/basketball/36573487
NBA Finals: LeBron James shines as Cavaliers hit back against Warriors,9 June 2016,https://www.bbc.co.uk/sport/basketball/36486928
NBA: LeBron James stars in plays of the week,19 February 2016,https://www.bbc.co.uk/sport/av/basketball/35611744
Jason Day's wife absolves LeBron James of blame after collision,18 December 2015,https://www.bbc.co.uk/sport/basketball/35132008
NBA finals: LeBron James motivated by Cleveland drought,15 June 2015,https://www.bbc.co.uk/sport/basketball/33143076
NBA finals: LeBron James needs stitches as Warriors level series,12 June 2015,https://www.bbc.co.uk/sport/basketball/33106140
NBA finals: LeBron James stars as Cleveland tie Golden State,8 June 2015,https://www.bbc.co.uk/sport/basketball/33044648
NBA: LeBron James and Stephen Curry will stand for US national anthem,27 September 2016,https://www.bbc.co.uk/sport/basketball/37481606
LeBron James' Cleveland Cavaliers NBA return ends in loss,31 October 2014,https://www.bbc.co.uk/sport/basketball/29846598
Los Angeles Lakers: Anthony Davis and LeBron James re-sign for NBA champions,4 December 2020,https://www.bbc.co.uk/sport/basketball/55172417
LeBron James opts out of Miami Heat contract to become free agent,24 June 2014,https://www.bbc.co.uk/sport/basketball/28010185
